date,year,dtr_c,srad,clouds,sclear,sndn_h,obs_sunset_h,obs_gap_h,tmax_c,tmin_c,official_ts_c,observed_near_sunset_c,sunset_error_c,dtr_cloud_x
2021-07-01,2021,9.0,30.62,0.07882862999335882,33.24028622359295,19.619117850057584,19.27361111111111,0.3453730033333334,33.0,24.0,30.558776344955117,31.0,-0.44122365504488315,0.0
2021-07-02,2021,10.0,30.43,0.08356712912564779,33.204832527413906,19.613366107462333,19.270555555555553,0.34273312027777775,34.0,24.0,31.29087364201985,32.0,-0.7091263579801499,0.0
2021-07-03,2021,8.0,30.03,0.09455094811979858,33.16586387455097,19.60705704537799,19.2675,0.33946495666666665,35.0,27.0,32.83563573412353,33.0,-0.1643642658764719,0.0
2021-07-04,2021,13.0,29.2,0.11844769061884652,33.12338892345287,19.600195630274914,19.264444444444443,0.3355679177777778,38.0,25.0,34.48810223016849,35.0,-0.5118977698315135,0.0
2021-07-05,2021,13.0,23.46,0.2907547790388195,33.07741710012037,19.59278721940581,19.261666666666667,0.33104188944444446,41.0,28.0,37.49371517125117,35.0,2.493715171251168,0.0
2021-07-06,2021,9.0,19.39,0.4129216328995835,33.02795859395624,19.584837546014512,19.25888888888889,0.32588723138888886,38.0,29.0,35.57674558459112,33.0,2.576745584591123,0.0
2021-07-07,2021,7.0,19.67,0.40348793107633085,32.975024353643065,19.57635270372465,19.25611111111111,0.32010476861111115,35.0,28.0,33.1187145169028,31.0,2.1187145169027986,0.0
2021-07-08,2021,7.0,13.44,0.5917205060119419,32.91862608312411,19.567339130194185,19.253611111111113,0.31369578305555557,33.0,26.0,31.122402346959465,32.0,-0.8775976530405352,0.0
2021-07-09,2021,11.0,22.76,0.30733878111253166,32.85877623776372,19.557803590123868,19.25111111111111,0.30666200055555554,38.0,27.0,35.05562680703143,35.0,0.0556268070314303,0.0
2021-07-10,2021,14.0,27.93,0.1483584576537742,32.795488020763266,19.547753157708968,19.248611111111114,0.29900558222222223,39.0,25.0,35.26085838524527,32.0,3.260858385245271,0.0
2021-07-11,2021,8.0,22.17,0.3226144350756812,32.72877537990783,19.537195198624303,19.24638888888889,0.2907291116666667,33.0,25.0,30.868301414615722,29.0,1.868301414615722,0.0
2021-07-12,2021,12.0,22.17,0.32116000017521473,32.65865300471728,19.526137351632375,19.24416666666667,0.2818355838888889,30.0,18.0,26.81024439592791,28.0,-1.18975560407209,0.0
2021-07-13,2021,11.0,23.37,0.2828018343217601,32.585136324072245,19.514587509903635,19.242222222222225,0.2723283908333333,33.0,22.0,30.083527908737697,30.0,0.08352790873769678,0.0
2021-07-14,2021,6.0,8.54,0.7372973866073723,32.50824150438262,19.502553802136447,19.240277777777777,0.2622113102777778,27.0,21.0,25.413448415785002,23.0,2.413448415785002,0.0
2021-07-15,2021,15.0,28.46,0.12236299583519783,32.427985448361746,19.4900445735622,19.238333333333333,0.25148849194444445,34.0,19.0,30.044685208697043,31.0,-0.9553147913029569,0.02447259916703948
2021-07-16,2021,10.0,24.99,0.22737750660033385,32.34438579446462,19.477068366918438,19.236666666666668,0.24016444388888888,35.0,25.0,32.370786244150175,31.0,1.3707862441501746,0.0
2021-07-17,2021,4.0,11.03,0.6580636018325812,32.2574609170431,19.46363390346974,19.235277777777778,0.22824401833333333,27.0,23.0,25.951492701559165,26.0,-0.048507298440835456,0.0
2021-07-18,2021,8.0,21.31,0.33752455377148605,32.16722992726486,19.449750064152493,19.233888888888888,0.21573239944444442,28.0,20.0,25.9095647977094,27.0,-1.0904352022905996,0.0
2021-07-19,2021,12.0,21.73,0.32249813982251196,32.07371267483649,19.435425870915893,19.232777777777777,0.20263508777777778,33.0,21.0,29.87454587156067,30.0,-0.1254541284393298,0.0
2021-07-20,2021,11.0,24.44,0.23569898077631457,31.97692975056367,19.420670468327046,19.231666666666666,0.1889578886111111,35.0,24.0,32.14464672067908,32.0,0.14464672067907713,0.0
2021-07-21,2021,13.0,25.05,0.21416455039709736,31.876902489774718,19.405493105503744,19.230555555555554,0.17470689611111112,38.0,25.0,34.63723797562485,34.0,0.6372379756248492,0.0
2021-07-22,2021,9.0,18.69,0.4117767946370666,31.77365297662523,19.389903118433654,19.229999999999997,0.15988848194444444,35.0,26.0,32.6803019264065,28.0,4.6803019264065,0.0
2021-07-23,2021,7.0,18.79,0.4066416482253773,31.66720404929443,19.373909912733815,19.229166666666664,0.1445092813888889,33.0,26.0,31.20247918546286,31.0,0.2024791854628596,0.0
2021-07-24,2021,10.0,28.7,0.09055128336554819,31.557579306075173,19.35752294689947,19.228888888888886,0.12857618,36.0,26.0,33.44192190503017,34.0,-0.5580780949698294,0.0
2021-07-25,2021,11.0,28.83,0.0831553342219784,31.44480311235193,19.340751716086167,19.22861111111111,0.11209630166666668,37.0,26.0,34.197177621858444,34.0,0.19717762185844379,0.0
