date,year,month,n_hours,tmax_c,tmin_c,dtr_c,dtr_bin,observed_tmax_solar_h,tmax_minus_1h_c,tmax_minus_2h_c,tmax_minus_3h_c,norm_drop_1h,norm_drop_2h,norm_drop_3h,htemp_daily_rmse,htemp_daily_bias
2020-12-07,2020,12,24,-11.0,-14.0,3.0,<10,17.45,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.1732770380316748,-0.7316540817886764
2020-12-08,2020,12,24,-8.0,-15.0,7.0,<10,13.433333333333334,2.0,1.0,3.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.7622216034714826,0.8057902223883181
2020-12-09,2020,12,24,-13.0,-17.0,4.0,<10,13.433333333333334,0.0,0.0,2.0,0.0,0.0,0.5,1.502103636267984,-0.17097543630882953
2020-12-10,2020,12,24,-12.0,-19.0,7.0,<10,21.416666666666668,3.0,3.0,,0.42857142857142855,0.42857142857142855,,2.0787346536749016,-0.4874501228121697
2020-12-11,2020,12,24,-10.0,-15.0,5.0,<10,13.916666666666666,0.0,1.0,2.0,0.0,0.2,0.4,1.5234845682473988,-0.5272238488143369
2020-12-12,2020,12,24,-11.0,-17.0,6.0,<10,10.4,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.4544711008596596,-0.25815830019924313
2020-12-13,2020,12,24,-14.0,-18.0,4.0,<10,13.9,0.0,1.0,2.0,0.0,0.25,0.5,1.224485972663284,0.3692770238950431
2020-12-14,2020,12,24,-16.0,-20.0,4.0,<10,13.9,0.0,0.0,1.0,0.0,0.0,0.25,0.8065798404526011,-0.2976180682473701
2020-12-15,2020,12,24,-16.0,-20.0,4.0,<10,13.383333333333333,0.0,1.0,2.0,0.0,0.25,0.5,1.173429189418452,-0.006135166846414168
2020-12-16,2020,12,24,-16.0,-20.0,4.0,<10,12.883333333333333,0.0,0.0,1.0,0.0,0.0,0.25,0.7995341709646698,0.07707276995831307
2020-12-17,2020,12,24,-15.0,-19.0,4.0,<10,13.366666666666667,0.0,1.0,2.0,0.0,0.25,0.5,1.2257041365165107,0.7436663058967002
2020-12-18,2020,12,24,-17.0,-21.0,4.0,<10,13.366666666666667,0.0,1.0,2.0,0.0,0.25,0.5,1.7767199262044358,-0.21468049931468544
2020-12-19,2020,12,24,-15.0,-21.0,6.0,<10,13.85,0.0,1.0,3.0,0.0,0.16666666666666666,0.5,1.1340121204254223,0.532198338659102
2020-12-20,2020,12,24,-13.0,-21.0,8.0,<10,15.35,3.0,4.0,4.0,0.375,0.5,0.5,1.2172106531132645,0.27922037867192445
2020-12-21,2020,12,24,-7.0,-19.0,12.0,10-<14.5,19.333333333333332,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,4.173949434566608,-2.5184749641655326
2020-12-22,2020,12,24,-8.0,-18.0,10.0,10-<14.5,14.333333333333334,2.0,6.0,6.0,0.2,0.6,0.6,3.4447672181008038,0.35989287255238184
