date,old_01605500,new_01605500,abs_diff_01605500,old_01606000,new_01606000,abs_diff_01606000,old_01606500,new_01606500,abs_diff_01606500
2003-07-22,12.19,12.19,0.0,22.64,22.64,0.0,35.12,35.12,0.0
2003-07-23,12.03,12.03,0.0,22.06,22.06,0.0,34.31,34.31,0.0
2003-07-24,11.58,11.58,0.0,20.31,20.31,0.0,31.83,31.83,0.0
2003-07-25,11.06,11.06,0.0,20.7,20.7,0.0,31.61,31.61,0.0
2003-07-26,10.76,10.76,0.0,20.73,20.73,0.0,31.54,31.54,0.0
2003-07-27,11.01,11.01,0.0,21.29,21.29,0.0,32.72,32.72,0.0
2003-07-28,10.93,10.93,0.0,21.8,21.8,0.0,33.51,33.51,0.0
2003-07-29,10.37,10.37,0.0,19.9,19.9,0.0,30.43,30.43,0.0
2003-07-30,10.08,10.08,0.0,19.63,19.63,0.0,29.89,29.89,0.0
2003-07-31,10.04,10.04,0.0,18.9,18.9,0.0,29.19,29.19,0.0
2003-08-01,9.751,9.751,0.0,18.77,18.77,0.0,28.78,28.78,0.0
2003-08-02,9.589,9.589,0.0,17.81,17.81,0.0,27.78,27.78,0.0
2003-08-03,9.526,9.526,0.0,17.72,17.72,0.0,27.49,27.49,0.0
2003-08-04,9.458,9.458,0.0,18.77,18.77,0.0,29.15,29.15,0.0
2003-08-05,9.424,9.424,0.0,19.45,19.45,0.0,30.1,30.1,0.0
2003-08-06,9.126,9.126,0.0,18.82,18.82,0.0,29.06,29.06,0.0
2003-08-07,9.247,9.247,0.0,19.29,19.29,0.0,30.02,30.02,0.0
2003-08-08,9.351,9.351,0.0,19.42,19.42,0.0,30.42,30.42,0.0
2003-08-09,10.07,10.07,0.0,22.37,22.37,0.0,34.64,34.64,0.0
2003-08-10,10.86,10.86,0.0,24.54,24.54,0.0,38.49,38.49,0.0
2003-08-11,12.02,12.02,0.0,25.85,25.85,0.0,40.4,40.4,0.0
2003-08-12,12.22,12.22,0.0,25.88,25.88,0.0,41.09,41.09,0.0
2003-08-13,11.83,11.83,0.0,24.63,24.63,0.0,38.85,38.85,0.0
2003-08-14,11.59,11.59,0.0,24.37,24.37,0.0,38.31,38.31,0.0
2003-08-15,11.32,11.32,0.0,23.73,23.73,0.0,36.82,36.82,0.0
2003-08-16,10.04,10.04,0.0,22.04,22.04,0.0,35.19,35.19,0.0
2003-08-17,9.756,9.756,0.0,22.42,22.42,0.0,34.3,34.3,0.0
2003-08-18,9.503,9.503,0.0,20.29,20.29,0.0,31.93,31.93,0.0
2003-08-19,9.544,9.544,0.0,20.31,20.31,0.0,32.18,32.18,0.0
2003-08-20,9.608,9.608,0.0,21.16,21.16,0.0,33.08,33.08,0.0
2003-08-21,9.513,9.513,0.0,21.41,21.41,0.0,33.19,33.19,0.0
2003-08-22,9.327,9.327,0.0,21.29,21.29,0.0,32.2,32.2,0.0
2003-08-23,9.119,9.119,0.0,20.96,20.96,0.0,31.86,31.86,0.0
2003-08-24,8.238,8.238,0.0,20.01,20.01,0.0,30.48,30.48,0.0
2003-08-25,8.145,8.145,0.0,18.14,18.14,0.0,28.06,28.06,0.0
2003-08-26,7.995,7.995,0.0,17.21,17.21,0.0,27.07,27.07,0.0
2003-08-27,8.225,8.225,0.0,17.86,17.86,0.0,28.33,28.33,0.0
2003-08-28,7.906,7.906,0.0,17.7,17.7,0.0,27.45,27.45,0.0
2003-08-29,7.884,7.884,0.0,17.99,17.99,0.0,27.76,27.76,0.0
2003-08-30,7.86,7.86,0.0,18.2,18.2,0.0,28.05,28.05,0.0
2003-08-31,7.656,7.656,0.0,17.96,17.96,0.0,27.13,27.13,0.0
2003-09-01,7.78,7.78,0.0,18.48,18.48,0.0,28.14,28.14,0.0
2003-09-02,8.101,8.101,0.0,20.01,20.01,0.0,30.22,30.22,0.0
2003-09-03,9.143,9.143,0.0,25.16,25.16,0.0,37.06,37.06,0.0
2003-09-04,9.246,9.246,0.0,22.84,22.84,0.0,34.07,34.07,0.0
2003-09-05,9.261,9.261,0.0,22.22,22.22,0.0,33.34,33.34,0.0
2003-09-06,9.155,9.155,0.0,21.99,21.99,0.0,32.96,32.96,0.0
2003-09-07,8.417,8.417,0.0,20.69,20.69,0.0,30.69,30.69,0.0
2003-09-08,8.042,8.042,0.0,17.94,17.94,0.0,27.52,27.52,0.0
2003-09-09,7.762,7.762,0.0,16.78,16.78,0.0,26.3,26.3,0.0
2003-09-10,7.339,7.339,0.0,18.09,18.09,0.0,26.92,26.92,0.0
2003-09-11,7.548,7.548,0.0,18.55,18.55,0.0,27.59,27.59,0.0
2003-09-12,7.654,7.654,0.0,18.91,18.91,0.0,28.16,28.16,0.0
2003-09-13,7.544,7.544,0.0,18.68,18.68,0.0,27.76,27.76,0.0
2003-09-14,7.388,7.388,0.0,18.3,18.3,0.0,27.14,27.14,0.0
2003-09-15,8.402,8.402,0.0,21.32,21.32,0.0,31.31,31.31,0.0
2003-09-16,6.855,6.855,0.0,18.92,18.92,0.0,26.91,26.91,0.0
2003-09-17,17.83,17.83,0.0,17.59,17.59,0.0,40.03,40.03,0.0
2003-09-18,26.53,26.53,0.0,56.89,56.89,0.0,93.95,93.95,0.0
2003-09-19,20.38,20.38,0.0,33.96,33.96,0.0,56.65,56.65,0.0
2003-09-20,15.89,15.89,0.0,28.94,28.94,0.0,47.56,47.56,0.0
2003-09-21,15.62,15.62,0.0,28.53,28.53,0.0,46.58,46.58,0.0
2003-09-22,17.59,17.59,0.0,29.85,29.85,0.0,49.39,49.39,0.0
2003-09-23,15.54,15.54,0.0,24.54,24.54,0.0,42.36,42.36,0.0
2003-09-24,15.14,15.14,0.0,22.39,22.39,0.0,38.21,38.21,0.0
2003-09-25,13.17,13.17,0.0,24.5,24.5,0.0,39.71,39.71,0.0
2003-09-26,10.46,10.46,0.0,23.09,23.09,0.0,35.62,35.62,0.0
2003-09-27,11.97,11.97,0.0,24.98,24.98,0.0,39.0,39.0,0.0
2003-09-28,12.45,12.45,0.0,25.26,25.26,0.0,39.55,39.55,0.0
2003-09-29,12.53,12.53,0.0,25.04,25.04,0.0,39.24,39.24,0.0
2003-09-30,12.55,12.55,0.0,25.04,25.04,0.0,39.3,39.3,0.0
2003-10-01,12.32,12.32,0.0,24.49,24.49,0.0,37.7,37.7,0.0
2003-10-02,11.23,11.23,0.0,21.32,21.32,0.0,34.09,34.09,0.0
2003-10-03,10.92,10.92,0.0,20.13,20.13,0.0,32.56,32.56,0.0
2003-10-04,10.17,10.17,0.0,21.25,21.25,0.0,33.33,33.33,0.0
2003-10-05,10.15,10.15,0.0,20.67,20.67,0.0,32.15,32.15,0.0
2003-10-06,10.41,10.41,0.0,20.65,20.65,0.0,32.36,32.36,0.0
2003-10-07,10.43,10.43,0.0,20.92,20.92,0.0,32.63,32.63,0.0
2003-10-08,10.32,10.32,0.0,20.83,20.83,0.0,32.41,32.41,0.0
2003-10-09,10.14,10.14,0.0,20.57,20.57,0.0,31.94,31.94,0.0
2003-10-10,9.942,9.942,0.0,20.21,20.21,0.0,30.95,30.95,0.0
2003-10-11,9.237,9.237,0.0,17.49,17.49,0.0,27.91,27.91,0.0
2003-10-12,8.694,8.694,0.0,17.19,17.19,0.0,27.11,27.11,0.0
2003-10-13,8.361,8.361,0.0,17.75,17.75,0.0,27.25,27.25,0.0
2003-10-14,10.3,10.3,0.0,20.19,20.19,0.0,32.4,32.4,0.0
2003-10-15,9.662,9.662,0.0,17.81,17.81,0.0,28.67,28.67,0.0
