*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -HEAD  AUG 29, 2026 12:13:41

*RUN   1        : GUO2025 XINYU66 REAL      MZCER048 SHIH2002    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : SHIH2002 MZ GUO2025 SHIHEZI 2020 W2
 DATA PATH      :
 TREATMENT  1   : GUO2025 XINYU66 REAL      MZCER048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-80  80-100
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
 2020 171    47    26     2    10.6     9.0     1.7     0.1   33.56   57.17    0.12    0.00   10.09   33.56   64.81    5.18    0.00    1.13     0.4     0.3    0.30    0.28    0.28    0.30    0.67    0.70    0.99    0.20    0.28    0.15    0.11    0.06    0.06    0.06    0.06    0.07    0.09    1.33    0.71    0.48    0.42    0.34    0.34    0.36    0.73    0.77    1.09
 2020 172    48    26     2     9.8     8.3     1.5     0.0   34.08   57.86    0.12    0.00   10.13   34.08   66.20    5.18    0.00    0.69     0.4     0.3    0.30    0.28    0.29    0.30    0.65    0.66    0.92    0.12    0.24    0.14    0.11    0.06    0.06    0.06    0.06    0.07    0.09    0.81    0.64    0.47    0.41    0.34    0.34    0.36    0.71    0.74    1.01
 2020 173    49    26     2     9.1     7.8     1.3     0.0   34.54   58.44    0.12    0.00   10.18   34.54   67.30    5.18    0.00    0.45     0.4     0.3    0.30    0.27    0.29    0.30    0.64    0.63    0.85    0.06    0.19    0.13    0.10    0.06    0.05    0.06    0.06    0.07    0.08    0.51    0.56    0.44    0.40    0.34    0.34    0.36    0.70    0.70    0.93
 2020 174    50    26     2     8.6     7.4     1.2     0.0   34.90   58.88    0.12    0.00   10.22   34.90   68.16    5.18    0.00    0.35     0.3     0.3    0.29    0.27    0.29    0.30    0.62    0.60    0.79    0.03    0.16    0.11    0.10    0.06    0.05    0.05    0.06    0.07    0.08    0.39    0.49    0.41    0.38    0.33    0.35    0.36    0.68    0.67    0.87
 2020 175    51    39     3    12.6     7.2     5.4     1.3   35.17   59.20    0.12    0.00   17.51   35.17   68.81    5.18    0.00    0.35     0.3     0.5    0.33    0.27    0.29    0.30    0.61    0.58    0.74    5.64    0.13    0.10    0.09    0.06    0.05    0.05    0.06    0.07    0.08    6.00    0.43    0.56    0.42    0.33    0.34    0.36    0.67    0.64    0.82
 2020 176    52    39     3    10.4     7.6     2.7     0.5   35.50   60.25    0.12    0.00   18.25   35.50   71.46    5.18    0.00    1.38     0.3     0.3    0.31    0.27    0.29    0.30    0.60    0.56    0.70    2.07    0.15    0.13    0.09    0.06    0.05    0.05    0.06    0.06    0.07    3.44    0.42    0.41    0.40    0.33    0.34    0.36    0.66    0.62    0.77
 2020 177    53    39     3     9.4     7.5     1.9     0.2   35.94   61.04    0.12    0.00   18.42   35.94   72.99    5.18    0.00    1.29     0.3     0.3    0.30    0.27    0.30    0.31    0.60    0.55    0.67    0.82    0.20    0.14    0.10    0.06    0.05    0.05    0.06    0.06    0.07    2.11    0.50    0.42    0.41    0.33    0.35    0.36    0.65    0.61    0.74
 2020 178    54    39     3     8.8     7.2     1.6     0.1   36.38   61.66    0.12    0.00   18.51   36.38   74.06    5.18    0.00    0.97     0.3     0.3    0.29    0.27    0.30    0.31    0.60    0.54    0.64    0.40    0.20    0.15    0.12    0.06    0.05    0.05    0.05    0.06    0.07    1.37    0.54    0.45    0.40    0.33    0.36    0.37    0.65    0.60    0.71
 2020 179    55    39     3     8.5     7.1     1.4     0.0   36.82   62.23    0.12    0.00   18.57   36.82   74.73    5.18    0.00    0.92     0.3     0.3    0.30    0.27    0.31    0.32    0.59    0.53    0.62    0.21    0.20    0.16    0.12    0.06    0.05    0.05    0.05    0.06    0.07    1.12    0.54    0.47    0.41    0.33    0.36    0.37    0.65    0.59    0.68
 2020 180    56    39     3     8.3     7.1     1.3     0.0   37.23   62.76    0.12    0.00   18.62   37.23   75.33    5.18    0.00    0.89     0.3     0.3    0.30    0.27    0.32    0.33    0.59    0.52    0.59    0.11    0.17    0.14    0.11    0.06    0.05    0.05    0.05    0.06    0.07    1.00    0.52    0.46    0.41    0.33    0.37    0.38    0.65    0.58    0.66
 2020 181    57    39     3     8.0     6.8     1.2     0.0   37.61   63.20    0.12    0.00   18.64   37.61   76.05    5.18    0.00    0.48     0.4     0.3    0.29    0.27    0.32    0.33    0.59    0.51    0.57    0.09    0.15    0.13    0.10    0.06    0.05    0.05    0.05    0.06    0.07    0.57    0.58    0.44    0.39    0.33    0.37    0.38    0.65    0.57    0.63
