K_RT,gain_scale,cal_all_rmse,cal_high_rmse,cal_all_bias,cal_high_bias
-1.4,0.25,2.2966146009180344,5.312046589673223,0.22789618892031,1.228758397413762
-1.3,0.25,2.2990228064845555,5.311935173569383,0.23409866974738106,1.2291047452123032
-1.2,0.25,2.301183189451311,5.311816588811493,0.24097130539768905,1.22947590015821
-1.1,0.25,2.303594654632167,5.311690214474654,0.24844060031290482,1.2298743023117862
-1.0,0.25,2.3069973026387096,5.311555362489144,0.25703138806930537,1.2303026952373868
-0.9,0.25,2.309370518454088,5.311411268913746,0.2658715758891176,1.2307641724201088
-0.8,0.25,2.3120604819477926,5.31125708397282,0.27493939506155957,1.231262232040023
-0.7,0.25,2.3151965293849566,5.31109186071465,0.2852290643177233,1.2318008417962372
-0.6,0.25,2.3178788796313095,5.310914542159904,0.29521033888400927,1.2323845158497293
-0.5,0.25,2.320850465638493,5.310723946841142,0.30559684931567827,1.2330184064245406
-0.4,0.25,2.325282911178856,5.3105187527005535,0.3175716956134946,1.2337084132000713
-0.3,0.25,2.3301299083721805,5.3102974794343245,0.3293199905436483,1.2344613143829406
-0.2,0.25,2.3333518743715365,5.310058469580881,0.3399516891771821,1.2352849243233088
-0.1,0.25,2.337840051684438,5.309799868999566,0.3504179888246796,1.2361882838251808
0.0,0.25,2.34290796512193,5.309519607962222,0.3603508990261481,1.2371818910295176
0.1,0.25,2.3501261114125485,5.309215385029813,0.37031989002559096,1.2382779831449113
0.2,0.25,2.3560086982420803,5.308884657469735,0.3793138017649311,1.2394908827391686
0.3,0.25,2.359304999311117,5.30852464466982,0.38720824499913903,1.2408374274513825
0.4,0.25,2.362673593049826,5.308132355763033,0.39417087479159807,1.2423375100659204
0.5,0.25,2.3674646843429086,5.307704661414928,0.40085991721071906,1.2440147692784729
0.6,0.25,2.3709934133249218,5.3072384465633275,0.4068487824474766,1.2458974949822879
0.7,0.25,2.3730456651529592,5.306730915089208,0.4121532962631596,1.2480198557599822
0.8,0.25,2.375554175618842,5.306180190800138,0.41695462214000273,1.2504236436992544
0.9,0.25,2.379607979124869,5.305586526321801,0.42118903119578743,1.2531609188783774
1.0,0.25,2.3820082727751335,5.304954837527128,0.42460532314353244,1.2562983691864247
1.1,0.25,2.3856603605673885,5.30430033700932,0.42769521187340614,1.2599252896456588
1.2,0.25,2.3899850511979768,5.303661988970896,0.4305719247483392,1.2641700505213525
1.3,0.25,2.3927838786675393,5.3031373520329765,0.43295633214652984,1.2692386164751206
1.4,0.25,2.394598708376031,5.302980877848949,0.43467354651782747,1.2755157648842872
1.5,0.25,2.396443255925929,5.303907948926196,0.4361419096997454,1.2838580884801463
1.6,0.25,2.3980798140128425,5.308144220619672,0.43735590705202265,1.2952147948364479
1.7,0.25,2.400161309932756,5.323883231959245,0.43862061321414614,1.315620286382322
1.8,0.25,2.40169843642272,5.339957861017039,0.43959151743899144,1.3356780758807787
1.9,0.25,2.4030497220682085,5.354380626071749,0.440291290882479,1.3516527731470167
2.0,0.25,2.4052789500961884,5.378735753596799,0.4410572826275003,1.3703334107255267
2.1,0.25,2.407786267062858,5.406024782724009,0.44181841878324607,1.3888956325324882
2.2,0.25,2.411666446542792,5.448041746316278,0.4427386387454931,1.411337513556634
2.3,0.25,2.416093332762195,5.495668068856286,0.4436890202521151,1.4345149597914224
2.4,0.25,2.416734518137453,5.502539237968941,0.4439436232223911,1.4407240943480966
2.5,0.25,2.4177234258722917,5.513123498831126,0.44418030026039546,1.446496059906278
2.6,0.25,2.419454147280348,5.531609015748028,0.4445532054831861,1.4555902927924182
2.7,0.25,2.422778202833517,5.566977287606919,0.44527323580848144,1.4731500454135182
2.8,0.25,2.4234273088575358,5.573863289102404,0.445442048186874,1.4772669603542001
2.9,0.25,2.425002446465651,5.590545418572615,0.44582725688152514,1.4866612443835512
3.0,0.25,2.4269844242310317,5.611481210811986,0.446312256913257,1.4984891914563974
-2.0,0.5,2.288033496404697,5.309725351367516,0.2218048242284259,1.2367312758945643
-1.9,0.5,2.2886955586171855,5.309587983949696,0.22528712622760277,1.2372340151365364
-1.8,0.5,2.2895797000020304,5.3094451896848085,0.22915894215036614,1.2377613946900217
-1.7,0.5,2.2905367049486043,5.309296709991303,0.23358604460649093,1.238315032216065
-1.6,0.5,2.2912704691057817,5.309142275189856,0.23843975167621967,1.2388966787156566
-1.5,0.5,2.2923987202323164,5.308981604879506,0.24390525123085893,1.239508231813528
-1.4,0.5,2.294065860281089,5.30881440862472,0.2501936889734127,1.2401517506458075
-1.3,0.5,2.2964898517061965,5.308640387052908,0.2572628206038046,1.2408294726004427
-1.2,0.5,2.2988409743516147,5.308459233492802,0.26489589222534415,1.2415438322122065
-1.1,0.5,2.3015219599252434,5.308270636326116,0.27307908846750417,1.2422974825822004
-1.0,0.5,2.304837179121809,5.308074282282346,0.28200003303647364,1.2430933197805296
-0.9,0.5,2.307522513194191,5.3078698609863135,0.29108311857862307,1.2439345108080626
-0.8,0.5,2.310542615976688,5.307657071180194,0.3003539944679674,1.2448245258502297
-0.7,0.5,2.313867170812627,5.307435629201628,0.3102748265373533,1.2457671757692594
