lambda,p,cal_all_rmse,cal_high_rmse,objective
2.25,0.25,2.314528,4.015804,3.165166
2.3,0.25,2.314141,4.012498,3.16332
2.35,0.25,2.313793,4.009531,3.161662
2.4,0.25,2.313485,4.006903,3.160194
2.45,0.25,2.313217,4.004613,3.158915
2.5,0.25,2.312989,4.002664,3.157827
2.55,0.25,2.31279,4.000959,3.156874
2.6,0.25,2.312584,3.999204,3.155894
2.65,0.25,2.312416,3.997767,3.155092
2.7,0.25,2.312286,3.99665,3.154468
2.75,0.25,2.312193,3.995853,3.154023
2.8,0.25,2.312137,3.995375,3.153756
2.85,0.25,2.312119,3.995217,3.153668
2.9,0.25,2.312137,3.995379,3.153758
2.95,0.25,2.312194,3.995862,3.154028
3.0,0.25,2.312288,3.996664,3.154476
3.05,0.25,2.312402,3.997647,3.155025
3.1,0.25,2.312547,3.998883,3.155715
3.15,0.25,2.312689,4.000097,3.156393
3.2,0.25,2.312824,4.00125,3.157037
3.25,0.25,2.312986,4.002635,3.15781
3.3,0.25,2.313178,4.00428,3.158729
3.35,0.25,2.313401,4.006185,3.159793
3.4,0.25,2.313654,4.008347,3.161001
3.45,0.25,2.313935,4.01074,3.162337
3.5,0.25,2.314242,4.013365,3.163804
3.55,0.25,2.314578,4.016222,3.1654
3.6,0.25,2.31494,4.019312,3.167126
3.65,0.25,2.31533,4.022632,3.168981
3.7,0.25,2.315746,4.026175,3.170961
3.75,0.25,2.316187,4.029924,3.173056
3.8,0.25,2.316654,4.033895,3.175275
3.85,0.25,2.317134,4.037972,3.177553
3.9,0.25,2.317601,4.041926,3.179763
3.95,0.25,2.318049,4.045733,3.181891
4.0,0.25,2.318517,4.049691,3.184104
0.0,0.3,2.378185,4.53268,3.455432
0.05,0.3,2.375819,4.514293,3.445056
0.1,0.3,2.373497,4.496186,3.434842
0.15,0.3,2.371218,4.478364,3.424791
0.2,0.3,2.368982,4.460828,3.414905
0.25,0.3,2.36679,4.443584,3.405187
0.3,0.3,2.364642,4.426633,3.395637
0.35,0.3,2.362537,4.40998,3.386258
0.4,0.3,2.360476,4.393627,3.377052
0.45,0.3,2.35846,4.377579,3.368019
0.5,0.3,2.356487,4.361838,3.359162
0.55,0.3,2.354559,4.346408,3.350483
0.6,0.3,2.352675,4.331292,3.341983
0.65,0.3,2.350835,4.316493,3.333664
0.7,0.3,2.34904,4.302016,3.325528
0.75,0.3,2.34729,4.287862,3.317576
0.8,0.3,2.345585,4.274036,3.30981
0.85,0.3,2.343924,4.26054,3.302232
0.9,0.3,2.342309,4.247378,3.294843
0.95,0.3,2.340738,4.234552,3.287645
1.0,0.3,2.339213,4.222066,3.280639
1.05,0.3,2.337733,4.209923,3.273828
1.1,0.3,2.336298,4.198125,3.267212
1.15,0.3,2.334909,4.186676,3.260793
1.2,0.3,2.333565,4.175579,3.254572
1.25,0.3,2.332266,4.164836,3.248551
1.3,0.3,2.331014,4.15445,3.242732
1.35,0.3,2.329807,4.144424,3.237116
1.4,0.3,2.328646,4.134761,3.231703
1.45,0.3,2.327531,4.125462,3.226496
1.5,0.3,2.326461,4.11653,3.221496
1.55,0.3,2.325438,4.107969,3.216703
1.6,0.3,2.324461,4.09978,3.21212
1.65,0.3,2.323529,4.091964,3.207747
1.7,0.3,2.322644,4.084526,3.203585
1.75,0.3,2.321806,4.077466,3.199636
1.8,0.3,2.321013,4.070786,3.1959
1.85,0.3,2.320267,4.064489,3.192378
1.9,0.3,2.319567,4.058577,3.189072
1.95,0.3,2.318913,4.05305,3.185982
2.0,0.3,2.318306,4.04791,3.183108
2.05,0.3,2.317715,4.042895,3.180305
2.1,0.3,2.317143,4.038043,3.177593
2.15,0.3,2.316611,4.03353,3.175071
2.2,0.3,2.316117,4.029332,3.172725
