alpha,beta,q0,cal_all_rmse,cal_high_rmse,objective
1.3,0.8,0.362628,2.389936,4.623197,3.506566
1.3,0.9,0.362628,2.390677,4.628864,3.509771
1.3,1.0,0.362628,2.391317,4.633748,3.512533
1.3,1.1,0.362628,2.391875,4.638009,3.514942
1.3,1.2,0.362628,2.392368,4.641767,3.517067
1.3,1.3,0.362628,2.392807,4.64511,3.518959
1.3,1.4,0.362628,2.393201,4.648109,3.520655
1.3,1.5,0.362628,2.393556,4.650818,3.522187
1.3,1.6,0.362628,2.39388,4.653281,3.52358
1.3,1.7,0.362628,2.394176,4.655531,3.524853
1.3,1.8,0.362628,2.394447,4.657597,3.526022
1.3,1.9,0.362628,2.394698,4.659504,3.527101
1.3,2.0,0.362628,2.39493,4.661269,3.5281
1.3,2.1,0.362628,2.395146,4.66291,3.529028
1.3,2.2,0.362628,2.395348,4.664441,3.529894
1.3,2.3,0.362628,2.395536,4.665873,3.530704
1.3,2.4,0.362628,2.395713,4.667216,3.531464
1.3,2.5,0.362628,2.39588,4.668479,3.532179
1.3,2.6,0.362628,2.396037,4.66967,3.532853
1.3,2.7,0.362628,2.396185,4.670796,3.533491
1.3,2.8,0.362628,2.396325,4.671862,3.534094
1.3,2.9,0.362628,2.396459,4.672874,3.534666
1.3,3.0,0.362628,2.396586,4.673835,3.53521
1.4,0.0,0.362628,2.371476,4.480383,3.425929
1.4,0.1,0.362628,2.376587,4.520268,3.448427
1.4,0.2,0.362628,2.380254,4.548714,3.464484
1.4,0.3,0.362628,2.382941,4.569476,3.476208
1.4,0.4,0.362628,2.384974,4.585138,3.485056
1.4,0.5,0.362628,2.38656,4.59733,3.491945
1.4,0.6,0.362628,2.387832,4.607086,3.497459
1.4,0.7,0.362628,2.388874,4.615075,3.501975
1.4,0.8,0.362628,2.389747,4.621748,3.505747
1.4,0.9,0.362628,2.390488,4.627418,3.508953
1.4,1.0,0.362628,2.391128,4.632303,3.511715
1.4,1.1,0.362628,2.391686,4.636566,3.514126
1.4,1.2,0.362628,2.392179,4.640324,3.516252
1.4,1.3,0.362628,2.392618,4.643669,3.518143
1.4,1.4,0.362628,2.393011,4.646669,3.51984
1.4,1.5,0.362628,2.393367,4.649379,3.521373
1.4,1.6,0.362628,2.393691,4.651842,3.522766
1.4,1.7,0.362628,2.393987,4.654093,3.52404
1.4,1.8,0.362628,2.394258,4.65616,3.525209
1.4,1.9,0.362628,2.394509,4.658067,3.526288
1.4,2.0,0.362628,2.394741,4.659833,3.527287
1.4,2.1,0.362628,2.394957,4.661474,3.528216
1.4,2.2,0.362628,2.395159,4.663005,3.529082
1.4,2.3,0.362628,2.395347,4.664437,3.529892
1.4,2.4,0.362628,2.395524,4.665781,3.530653
1.4,2.5,0.362628,2.395691,4.667045,3.531368
1.4,2.6,0.362628,2.395848,4.668237,3.532042
1.4,2.7,0.362628,2.395996,4.669363,3.532679
1.4,2.8,0.362628,2.396137,4.670429,3.533283
1.4,2.9,0.362628,2.39627,4.671441,3.533855
1.4,3.0,0.362628,2.396397,4.672403,3.5344
1.5,0.0,0.362628,2.3713,4.479008,3.425154
1.5,0.1,0.362628,2.376412,4.518905,3.447659
1.5,0.2,0.362628,2.380079,4.54736,3.463719
1.5,0.3,0.362628,2.382766,4.568128,3.475447
1.5,0.4,0.362628,2.384799,4.583794,3.484297
1.5,0.5,0.362628,2.386386,4.595991,3.491188
1.5,0.6,0.362628,2.387657,4.605749,3.496703
1.5,0.7,0.362628,2.3887,4.61374,3.50122
1.5,0.8,0.362628,2.389572,4.620416,3.504994
1.5,0.9,0.362628,2.390314,4.626087,3.5082
1.5,1.0,0.362628,2.390954,4.630974,3.510964
1.5,1.1,0.362628,2.391512,4.635237,3.513375
1.5,1.2,0.362628,2.392005,4.638997,3.515501
1.5,1.3,0.362628,2.392444,4.642343,3.517393
1.5,1.4,0.362628,2.392837,4.645344,3.519091
1.5,1.5,0.362628,2.393193,4.648054,3.520624
1.5,1.6,0.362628,2.393517,4.650518,3.522017
1.5,1.7,0.362628,2.393813,4.652769,3.523291
1.5,1.8,0.362628,2.394084,4.654837,3.524461
1.5,1.9,0.362628,2.394335,4.656745,3.52554
1.5,2.0,0.362628,2.394568,4.658511,3.526539
1.5,2.1,0.362628,2.394784,4.660153,3.527468
1.5,2.2,0.362628,2.394985,4.661685,3.528335
1.5,2.3,0.362628,2.395174,4.663117,3.529145
1.5,2.4,0.362628,2.395351,4.664461,3.529906
1.5,2.5,0.362628,2.395517,4.665725,3.530621
1.5,2.6,0.362628,2.395674,4.666917,3.531296
1.5,2.7,0.362628,2.395822,4.668044,3.531933
