lambda,cal_all_rmse,cal_high_rmse,objective
0.255,2.432574,4.668993,3.550784
0.26,2.432456,4.668083,3.55027
0.265,2.432338,4.667175,3.549756
0.27,2.43222,4.666268,3.549244
0.275,2.432103,4.665363,3.548733
0.28,2.431986,4.664459,3.548222
0.285,2.431869,4.663557,3.547713
0.29,2.431752,4.662656,3.547204
0.295,2.431635,4.661757,3.546696
0.3,2.431519,4.660859,3.546189
0.305,2.431403,4.659963,3.545683
0.31,2.431287,4.659069,3.545178
0.315,2.431171,4.658175,3.544673
0.32,2.431056,4.657284,3.54417
0.325,2.430941,4.656394,3.543667
0.33,2.430826,4.655506,3.543166
0.335,2.430711,4.654619,3.542665
0.34,2.430596,4.653733,3.542165
0.345,2.430482,4.652849,3.541666
0.35,2.430368,4.651967,3.541167
0.355,2.430254,4.651086,3.54067
0.36,2.43014,4.650207,3.540174
0.365,2.430026,4.64933,3.539678
0.37,2.429913,4.648454,3.539183
0.375,2.4298,4.647579,3.538689
0.38,2.429687,4.646706,3.538197
0.385,2.429574,4.645835,3.537704
0.39,2.429462,4.644965,3.537213
0.395,2.42935,4.644096,3.536723
0.4,2.429238,4.643229,3.536234
0.405,2.429126,4.642364,3.535745
0.41,2.429014,4.641501,3.535257
0.415,2.428903,4.640638,3.534771
0.42,2.428792,4.639778,3.534285
0.425,2.428681,4.638919,3.5338
0.43,2.42857,4.638061,3.533316
0.435,2.42846,4.637205,3.532832
0.44,2.428349,4.636351,3.53235
0.445,2.428239,4.635498,3.531869
0.45,2.428129,4.634647,3.531388
0.455,2.42802,4.633797,3.530908
0.46,2.42791,4.632949,3.53043
0.465,2.427801,4.632103,3.529952
0.47,2.427692,4.631258,3.529475
0.475,2.427583,4.630414,3.528999
0.48,2.427475,4.629572,3.528524
0.485,2.427366,4.628732,3.528049
0.49,2.427258,4.627893,3.527576
0.495,2.42715,4.627056,3.527103
0.5,2.427043,4.62622,3.526632
0.505,2.426935,4.625386,3.526161
0.51,2.426828,4.624554,3.525691
0.515,2.426721,4.623723,3.525222
0.52,2.426614,4.622894,3.524754
0.525,2.426508,4.622066,3.524287
0.53,2.426401,4.62124,3.52382
0.535,2.426295,4.620415,3.523355
0.54,2.426189,4.619592,3.522891
0.545,2.426083,4.618771,3.522427
0.55,2.425978,4.617951,3.521964
0.555,2.425872,4.617132,3.521502
0.56,2.425767,4.616316,3.521042
0.565,2.425663,4.6155,3.520582
0.57,2.425558,4.614687,3.520122
0.575,2.425453,4.613875,3.519664
0.58,2.425349,4.613064,3.519207
0.585,2.425245,4.612256,3.51875
0.59,2.425141,4.611448,3.518295
0.595,2.425038,4.610643,3.51784
0.6,2.424935,4.609839,3.517387
0.605,2.424831,4.609036,3.516934
0.61,2.424728,4.608235,3.516482
0.615,2.424626,4.607436,3.516031
0.62,2.424523,4.606638,3.515581
0.625,2.424421,4.605842,3.515132
0.63,2.424319,4.605048,3.514683
0.635,2.424217,4.604255,3.514236
0.64,2.424116,4.603463,3.513789
0.645,2.424014,4.602673,3.513344
0.65,2.423913,4.601885,3.512899
0.655,2.423812,4.601099,3.512455
0.66,2.423711,4.600314,3.512012
0.665,2.423611,4.59953,3.511571
0.67,2.42351,4.598748,3.511129
0.675,2.42341,4.597968,3.510689
0.68,2.423311,4.59719,3.51025
0.685,2.423211,4.596413,3.509812
0.69,2.423111,4.595637,3.509374
0.695,2.423012,4.594863,3.508938
0.7,2.422913,4.594091,3.508502
0.705,2.422814,4.593321,3.508068
0.71,2.422716,4.592552,3.507634
0.715,2.422618,4.591784,3.507201
0.72,2.422519,4.591018,3.506769
0.725,2.422422,4.590254,3.506338
0.73,2.422324,4.589492,3.505908
0.735,2.422226,4.588731,3.505478
0.74,2.422129,4.587971,3.50505
0.745,2.422032,4.587213,3.504623
