gamma,cal_all_rmse,cal_high_rmse,objective
0.264,2.404311,4.447182,3.425747
0.266,2.404287,4.446992,3.425639
0.268,2.404265,4.446818,3.425542
0.27,2.404247,4.446671,3.425459
0.272,2.404232,4.44655,3.425391
0.274,2.40422,4.446456,3.425338
0.276,2.404212,4.446389,3.4253
0.278,2.404207,4.446349,3.425278
0.28,2.404205,4.446336,3.42527
0.282,2.404207,4.44635,3.425278
0.284,2.404212,4.446391,3.425302
0.286,2.40422,4.44646,3.42534
0.288,2.404231,4.446543,3.425387
0.29,2.40424,4.446613,3.425426
0.292,2.404251,4.446708,3.42548
0.294,2.404259,4.446766,3.425513
0.296,2.404266,4.446826,3.425546
0.298,2.404274,4.446887,3.42558
0.3,2.404284,4.446972,3.425628
0.302,2.404298,4.447082,3.42569
0.304,2.404315,4.447217,3.425766
0.306,2.404331,4.447342,3.425836
0.308,2.404348,4.447483,3.425916
0.31,2.404369,4.447648,3.426009
0.312,2.404393,4.447838,3.426115
0.314,2.404419,4.448051,3.426235
0.316,2.404449,4.448289,3.426369
0.318,2.404482,4.448551,3.426516
0.32,2.404518,4.448837,3.426678
0.322,2.404551,4.449104,3.426827
0.324,2.404577,4.449313,3.426945
0.326,2.404606,4.449545,3.427076
0.328,2.404638,4.449802,3.42722
0.33,2.404673,4.450082,3.427378
0.332,2.404711,4.450386,3.427549
0.334,2.404753,4.450714,3.427733
0.336,2.404797,4.451067,3.427932
0.338,2.404844,4.451443,3.428143
0.34,2.404894,4.451844,3.428369
0.342,2.404947,4.452269,3.428608
0.344,2.405003,4.452718,3.428861
0.346,2.405051,4.453099,3.429075
0.348,2.405092,4.453427,3.42926
0.35,2.405136,4.453777,3.429456
0.352,2.405182,4.454148,3.429665
0.354,2.405231,4.45454,3.429886
0.356,2.405282,4.454948,3.430115
0.358,2.405324,4.455283,3.430304
0.36,2.405369,4.455639,3.430504
0.362,2.405416,4.456016,3.430716
0.364,2.405466,4.456413,3.43094
0.366,2.405518,4.456832,3.431175
