solar_date,month,season,n_points,formal_dtr_c,daily_rmse_c,daily_mae_c,daily_mbe_c
2000-11-16,11,Other,8,4.7,1.041,0.7849,0.4858
2000-11-17,11,Other,8,3.2,0.6461,0.4832,-0.4317
2000-11-18,11,Other,7,6.8,2.1,1.7829,0.1971
2000-11-19,11,Other,8,10.1,2.5509,2.1056,0.8396
2000-11-20,11,Other,8,5.9,2.1598,1.3755,-0.6203
2000-11-21,11,Other,8,8.0,2.1031,1.562,1.0647
2000-11-22,11,Other,7,6.0,1.597,1.4948,-0.3477
2000-11-23,11,Other,8,7.5,1.4325,1.0558,0.311
2000-11-24,11,Other,8,2.8,1.3452,1.2167,-0.1076
2000-11-25,11,Other,8,3.8,1.7287,1.4445,0.8046
2000-11-26,11,Other,8,2.9,1.1581,0.8974,0.5333
2000-11-27,11,Other,8,3.9,1.2884,1.022,-0.143
2000-11-28,11,Other,8,14.9,6.2416,5.0366,2.7765
2000-11-29,11,Other,7,18.5,4.379,3.4111,2.6434
2000-11-30,11,Other,8,10.6,5.9776,4.7538,-3.8512
2000-12-01,12,Other,9,8.1,1.5092,1.3654,-0.3406
2000-12-02,12,Other,8,11.8,7.4505,6.4943,-0.1506
2000-12-03,12,Other,8,14.2,4.6079,3.8562,-3.2871
2000-12-04,12,Other,8,13.5,8.1144,7.1284,1.2402
2000-12-05,12,Other,8,13.1,3.975,3.5447,-0.3015
2000-12-06,12,Other,8,13.3,3.932,2.6119,2.33
2000-12-07,12,Other,8,9.1,2.9406,2.4404,0.2677
2000-12-08,12,Other,8,4.9,1.9932,1.7234,0.8337
2000-12-09,12,Other,8,4.7,2.8254,2.6417,0.2205
2000-12-10,12,Other,8,3.0,1.7781,1.1802,-1.1034
2000-12-11,12,Other,8,14.4,5.5789,4.6004,0.1819
2000-12-12,12,Other,8,7.2,3.1231,2.6633,-0.2424
2000-12-13,12,Other,7,7.4,2.1475,1.6234,-1.6234
2000-12-14,12,Other,8,11.0,4.552,3.9162,1.5542
2000-12-15,12,Other,8,12.3,3.9367,3.2642,0.9993
2000-12-16,12,Other,8,14.4,2.4175,1.6091,-0.9991
2000-12-17,12,Other,8,11.3,4.2377,3.4627,0.6513
2000-12-18,12,Other,8,8.0,3.5376,2.8427,-2.058
2000-12-19,12,Other,8,11.5,5.352,4.8679,1.6461
2000-12-20,12,Other,8,8.7,3.5838,2.9196,-0.5343
2000-12-21,12,Other,8,13.1,3.3133,2.8388,-0.6064
2000-12-22,12,Other,8,13.3,4.1385,3.605,-1.3216
2000-12-23,12,Other,8,14.0,5.1721,4.8336,0.8784
2000-12-24,12,Other,8,13.0,4.9712,4.1655,-0.5393
2000-12-25,12,Other,8,8.8,4.0082,3.2255,1.7184
2000-12-26,12,Other,8,5.6,1.8597,1.6362,0.3311
2000-12-27,12,Other,8,6.0,2.3695,1.7702,-1.6219
2000-12-28,12,Other,8,8.4,2.1794,2.0025,-0.8901
2000-12-29,12,Other,8,8.1,1.3612,1.1602,0.5316
2000-12-30,12,Other,8,8.5,4.0232,3.5274,-0.6456
2000-12-31,12,Other,8,13.5,3.7331,3.4486,-0.4949
2001-01-01,1,Other,8,8.5,2.253,1.7482,-1.432
2001-01-02,1,Other,8,5.3,2.8344,2.6629,1.4551
2001-01-03,1,Other,8,4.7,0.9271,0.7717,-0.3522
2001-01-04,1,Other,8,11.4,3.2621,2.4888,-1.8913
2001-01-05,1,Other,8,10.3,1.8827,1.5703,-0.6127
2001-01-06,1,Other,8,10.6,5.1619,4.6948,2.4817
2001-01-07,1,Other,8,8.4,4.2556,3.8798,1.6357
2001-01-08,1,Other,7,7.4,3.3653,2.7121,0.5656
2001-01-09,1,Other,8,9.7,3.4009,2.6359,-1.5977
2001-01-10,1,Other,7,13.4,6.2102,4.9873,-1.0545
2001-01-11,1,Other,8,17.9,6.6974,5.5425,-4.4683
2001-01-12,1,Other,8,5.8,2.2651,1.9474,0.699
2001-01-13,1,Other,8,4.3,1.8113,1.5698,0.9012
2001-01-14,1,Other,7,6.9,1.7818,1.5936,-0.5582
2001-01-15,1,Other,8,14.6,4.5651,3.3591,2.8033
2001-01-16,1,Other,7,18.1,7.3638,5.4464,2.6656
2001-01-17,1,Other,8,6.1,2.6187,2.4446,0.03
2001-01-18,1,Other,7,8.0,1.6863,1.3405,-0.6921
2001-01-19,1,Other,8,8.3,2.6804,2.1528,0.4212
2001-01-20,1,Other,8,12.5,3.3161,2.5048,0.8354
2001-01-21,1,Other,8,7.0,1.7784,1.4192,-0.1882
2001-01-22,1,Other,8,3.8,1.0224,0.7782,-0.0357
2001-01-23,1,Other,8,3.2,1.322,1.1342,0.0284
2001-01-24,1,Other,8,9.4,2.6207,2.4004,-0.1967
2001-01-25,1,Other,8,10.3,2.6442,1.9131,-0.6075
2001-01-26,1,Other,8,5.7,2.2448,2.0056,-0.1769
2001-01-27,1,Other,8,4.4,1.4436,1.1193,0.7909
2001-01-28,1,Other,8,5.8,1.2094,1.0488,0.0498
2001-01-29,1,Other,8,10.6,3.4162,2.8783,-0.8099
2001-01-30,1,Other,8,8.1,2.263,2.0059,-0.5354
2001-01-31,1,Other,8,4.8,1.7335,1.47,0.5681
2001-02-01,2,Other,8,6.2,2.7927,2.2814,0.5565
2001-02-02,2,Other,8,13.1,2.7683,2.2823,-0.0537
2001-02-03,2,Other,8,11.0,4.0359,3.3372,2.6443
2001-02-04,2,Other,8,6.4,1.866,1.6114,1.1347
