branch,k,n,cal_rmse
pre,3.75,95,8.072862699316843
pre,3.7600000000000002,95,8.072782148786954
pre,3.77,95,8.072701618771239
pre,3.7800000000000002,95,8.072621109259858
pre,3.79,95,8.07254062024297
pre,3.8000000000000003,95,8.072460151710748
pre,3.81,95,8.072379703653374
pre,3.8200000000000003,95,8.072299276061015
pre,3.83,95,8.072218868923867
pre,3.84,95,8.072138482232123
pre,3.85,95,8.072058115975977
pre,3.86,95,8.071977770145638
pre,3.87,95,8.071897444731313
pre,3.88,95,8.071817139723214
pre,3.89,95,8.07173685511157
pre,3.9,95,8.071656590886606
pre,3.91,95,8.071576347038551
pre,3.92,95,8.07149612355765
pre,3.93,95,8.07141592043414
pre,3.94,95,8.071335737658277
pre,3.95,95,8.071255575220308
pre,3.96,95,8.07117543311051
pre,3.97,95,8.071095311319135
pre,3.98,95,8.071015209836462
pre,3.99,95,8.070935128652769
pre,4.0,95,8.070855067758341
pre,4.01,95,8.070775027143467
pre,4.0200000000000005,95,8.070695006798443
pre,4.03,95,8.070615006713567
pre,4.04,95,8.070535026879151
pre,4.05,95,8.070455067285506
pre,4.0600000000000005,95,8.070375127922942
pre,4.07,95,8.070295208781797
pre,4.08,95,8.070215309852392
pre,4.09,95,8.070135431125061
pre,4.1,95,8.070055572590153
pre,4.11,95,8.069975734238009
pre,4.12,95,8.069895916058973
pre,4.13,95,8.069816118043414
pre,4.14,95,8.0697363401817
pre,4.15,95,8.06965658246418
pre,4.16,95,8.069576844881254
pre,4.17,95,8.069497127423277
pre,4.18,95,8.069417430080653
pre,4.19,95,8.069337752843765
pre,4.2,95,8.069258095703011
pre,4.21,95,8.069178458648798
pre,4.22,95,8.069098841671531
pre,4.23,95,8.069019244761623
pre,4.24,95,8.068939667909492
pre,4.25,95,8.06886011110557
pre,4.26,95,8.06878057434028
pre,4.2700000000000005,95,8.06870105760406
pre,4.28,95,8.068621560887355
pre,4.29,95,8.06854208418061
pre,4.3,95,8.068462627474279
pre,4.3100000000000005,95,8.068383190758821
pre,4.32,95,8.068303774024695
pre,4.33,95,8.068224377262379
pre,4.34,95,8.068145000462337
pre,4.3500000000000005,95,8.068065643615059
pre,4.36,95,8.067986306711033
pre,4.37,95,8.067906989740738
pre,4.38,95,8.067827692694685
pre,4.39,95,8.06774841556337
pre,4.4,95,8.067669158337305
pre,4.41,95,8.067589921007002
pre,4.42,95,8.067510703562975
pre,4.43,95,8.067431505995758
pre,4.44,95,8.067352328295877
pre,4.45,95,8.067273170453873
pre,4.46,95,8.067194032460277
pre,4.47,95,8.067114914305645
pre,4.48,95,8.067035815980526
pre,4.49,95,8.066956737475481
pre,4.5,95,8.066877678781067
pre,4.51,95,8.066798639887859
pre,4.5200000000000005,95,8.066719620786431
pre,4.53,95,8.066640621467362
pre,4.54,95,8.06656164192124
pre,4.55,95,8.06648268213865
pre,4.5600000000000005,95,8.066403742110195
pre,4.57,95,8.066324821826468
