scenario,arm,KRT,year,treatment,observed_kg_ha,simulated_kg_ha,error_kg_ha,ADAT,MDAT,CWAM,ETCP,IRCM,SRADA
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2019,W3,12490,10263.0,-2227.0,2019183,2019230,19094,443.6,506,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2019,W4,12030,10263.0,-1767.0,2019183,2019230,19094,443.6,540,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2020,W1,9275,13741.0,4466.0,2020184,2020234,23991,428.8,439,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2020,W2,11100,13740.0,2640.0,2020184,2020234,23986,428.9,472,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2020,W3,12030,13740.0,1710.0,2020184,2020234,23988,428.9,506,19.8
SRAD19P8_N_OFF,M15_HR_K0.75,0.75,2020,W4,11595,13741.0,2146.0,2020184,2020234,23989,428.9,540,19.8
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2019,W1,9250,10321.0,1071.0,2019182,2019229,19036,441.7,439,19.9
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2019,W2,10725,10321.0,-404.0,2019182,2019229,19036,441.7,472,19.9
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2019,W3,12490,10321.0,-2169.0,2019182,2019229,19036,441.7,506,19.9
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2019,W4,12030,10321.0,-1709.0,2019182,2019229,19036,441.7,540,19.9
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2020,W1,9275,14132.0,4857.0,2020183,2020234,24387,428.8,439,19.8
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2020,W2,11100,14131.0,3031.0,2020183,2020234,24382,428.9,472,19.8
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2020,W3,12030,14131.0,2101.0,2020183,2020234,24382,428.9,506,19.8
SRAD19P8_N_OFF,REG_HR_K0.75,0.75,2020,W4,11595,14131.0,2536.0,2020183,2020234,24384,428.9,540,19.8
