mode,arm,DTRc_C,alpha,split,DTR_bin,n,rmse,mae,mbe,r2
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.4595844112593244,2.7115961235742905,0.3677796337972078,0.7586933828794991
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,15-<18,856,4.455076023708645,3.2000458539614223,0.49386706988447704,0.6459400173917564
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,18-<20,72,5.542573380959222,4.377893481552851,-0.5567895583807188,0.5006853135296688
FIXED_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,13-<14,719,2.65659645703236,1.8501648750282662,-0.01986212562365836,0.8427120202300098
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,14-<14.3,190,3.1924390476125613,2.1919467569918014,0.04397690921875825,0.7252926187778905
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,14.3-<14.5,134,2.447194560672168,1.6675283531150067,-0.2735445094464563,0.8514442178618858
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,14.5-<14.8,101,2.7512948170954816,2.1018492466684178,-1.0314378345620374,0.8080525966584179
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,14.8-<15,104,3.2545282958699975,2.54914920592427,-0.24302417557925904,0.7916060596205219
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,15-<18,856,4.399116346281663,3.1623194854837773,0.1363249915833558,0.6551418775580594
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,18-<20,72,5.555876563926308,4.395887517037377,-0.6134518710190184,0.501531183755304
REFIT_ALPHA,T13P0,13.0,5.603868885111006,primary_val_2017_2024,>=20,47,6.759794238203103,5.464237424833512,-0.26258287965107424,0.3715882021670502
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,13-<14,719,2.703586271942212,1.8669051236347245,0.054708790600514846,0.8370706667562728
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,14-<14.3,190,3.2531008660616307,2.2189271270029294,0.13535757298140194,0.7158525208730478
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,14.3-<14.5,134,2.4671784057647206,1.6686930740256911,-0.20263653956713445,0.8485123993455412
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,14.5-<14.8,101,2.7322866873961345,2.0832372167360558,-0.9351532112804756,0.8040449125696181
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,14.8-<15,104,3.2606921163843534,2.541103328800554,-0.13806763903960542,0.788201792512098
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,15-<18,856,4.399976803198191,3.1601369481043475,0.1670511329570428,0.6551170875848458
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,18-<20,72,5.56599563200435,4.408330841164356,-0.655608848358888,0.5018884907789624
REFIT_ALPHA,T13P5,13.5,6.407985379809223,primary_val_2017_2024,>=20,47,6.745297685589687,5.445624776101568,-0.30410087533924346,0.3781481628630431
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,13-<14,719,2.72182453762212,1.8737881581950753,0.07741153219684452,0.8349944585134731
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,14-<14.3,190,3.3093930014149113,2.2471403027930137,0.20708867490168487,0.707497953916897
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,14.3-<14.5,134,2.4900319904638204,1.6759567047516266,-0.14449619788099574,0.8455775509343676
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,14.5-<14.8,101,2.725983109256104,2.071945424404442,-0.8522123904260384,0.7996032082662617
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,14.8-<15,104,3.277349503261412,2.539644205272737,-0.042345643726807644,0.7842581958698057
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,15-<18,856,4.4019469251263565,3.155534136746862,0.21955425470558237,0.6544338578064038
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,18-<20,72,5.563254544538135,4.405371588939848,-0.6462636449267782,0.5017916625043005
REFIT_ALPHA,T13P8,13.8,6.749813473189908,primary_val_2017_2024,>=20,47,6.744293917810105,5.446709830499536,-0.3074480064899648,0.3786672737251509
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,14-<14.3,190,3.3556955343288375,2.2742062003611148,0.26010417686061643,0.7008072701592879
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,14.3-<14.5,134,2.5114612789969746,1.6869242178750374,-0.09983415886289514,0.8430027928118246
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,14.5-<14.8,101,2.7276804599747226,2.0660184690327057,-0.7858918395613606,0.7953982684871493
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,14.8-<15,104,3.2991337005182495,2.56559541163333,0.03749588230361221,0.780360508894135
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,15-<18,856,4.406749489816671,3.156205125252029,0.2804810858165143,0.6531144759430896
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,18-<20,72,5.554334705414087,4.394504013566874,-0.6104122694741966,0.501433893568301
REFIT_ALPHA,T14P0,14.0,6.805081570269362,primary_val_2017_2024,>=20,47,6.745511656667607,5.445396864545743,-0.3033978231516859,0.37803893842808195
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,13-<14,719,2.7236813683795464,1.874585540271511,0.07978035355594736,0.8347920873240129
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14-<14.3,190,3.383468271982799,2.2897192688325125,0.28774293383612537,0.6970972174945248
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.3-<14.5,134,2.561571426135907,1.7108264524326842,-0.017990628468662756,0.8374013395464666
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.5-<14.8,101,2.776812636799741,2.070814259815712,-0.5774991803356947,0.7774934046251968
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,14.8-<15,104,3.4595844112593244,2.7115961235742905,0.3677796337972078,0.7586933828794991
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,15-<18,856,4.455076023708645,3.2000458539614223,0.49386706988447704,0.6459400173917564
REFIT_ALPHA,T14P8,14.8,7.809408336409373,primary_val_2017_2024,18-<20,72,5.542573380959222,4.377893481552851,-0.5567895583807188,0.5006853135296688
